ImageID,Genotype,Stained,LeafSide,CellAge,Cell#,Area,MeanCellFluorescence,IntegratedDensity,CorrectedTotalCellFluorescence
BdGT43B2  PDMPO adaxial snap05 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdGT43B2,Y,AD,Young,6,243.014,12399.69,3013302.951,1833944.952
BdGT43B2  PDMPO adaxial snap05 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdGT43B2,Y,AD,Young,7,188.134,12899.353,2426801.27,1513778.408
BdGT43B2  PDMPO adaxial snap04 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdGT43B2,Y,AD,Young,8,255.865,11417.92,2921445.197,1679720.71
BdGT43B2  PDMPO adaxial snap03 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdGT43B2,Y,AD,Young,9,329.08,8788.611,2892158.323,1295118.11
BdGT43B2  PDMPO adaxial snap02 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdGT43B2,Y,AD,Young,10,395.911,8990.705,3559521.502,1638147.405
BdWT PDMPO abaxial snap01 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,1,218.336,7409.285,1617716.881,813971.0835
BdWT PDMPO abaxial snap02 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,2,228.404,15704.168,3586895.446,2746086.99
BdWT PDMPO abaxial snap02 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,3,325.561,6701.063,2181602.511,983136.4515
BdWT PDMPO abaxial snap03 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,4,255.824,8082.672,2067741.274,1125993.395
BdWT PDMPO abaxial snap04 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,5,352.285,6555.763,2309496.252,1012652.908
BdWT PDMPO abaxial snap05 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,6,328.876,5781.464,1901382.589,690713.2405
BdWT PDMPO abaxial snap06 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,7,180.644,6474.731,1169622.729,504629.9846
BdWT PDMPO abaxial snap07 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,8,311.196,5587.413,1738780.191,593195.0507
BdWT PDMPO abaxial snap08 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,9,241.623,5804.803,1402573.45,513102.768
BdWT PDMPO abaxial snap08 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AB,Old,10,369.555,4685.231,1731452.395,371034.1489
BdWT PDMPO abaxial snap01 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,1,237.326,6810.17,1616228.837,759100.7982
BdWT PDMPO abaxial snap02 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,2,164.888,6871.073,1132957.435,537446.9218
BdWT PDMPO abaxial snap03 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,3,152.651,12357.51,1886390.305,1335075.016
BdWT PDMPO abaxial snap04 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,4,213.262,7277.93,1552103.655,781885.3064
BdWT PDMPO abaxial snap05 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,5,318.849,5255.577,1675735.191,524178.1849
BdWT PDMPO abaxial snap05 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,6,133.539,5676.986,758100.236,275809.9637
BdWT PDMPO abaxial snap06 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,7,162.801,12907.553,2101359.926,1513386.835
BdWT PDMPO abaxial snap06 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,8,205.813,13187.776,2714219.541,1970904.047
BdWT PDMPO abaxial snap07 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AB,Young,9,201.393,12887.48,2595452.876,1868100.681
BdWT PDMPO adaxial snap10 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,1,295.849,5884.278,1740857.191,487249.4543
BdWT PDMPO adaxial snap09 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,2,194.436,6521.263,1267968.657,444080.5455
BdWT PDMPO adaxial snap08 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,3,407.37,16322.688,6649378.932,4923220.71
BdWT PDMPO adaxial snap07 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,4,247.23,6232.524,1540864.957,493271.6214
BdWT PDMPO adaxial snap06 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,5,335.055,8216.256,2752900.365,1333164.147
BdWT PDMPO adaxial snap05 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,6,257.707,5943.507,1531680.626,439692.8586
BdWT PDMPO adaxial snap04 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,7,467.039,5961.097,2784067.347,805072.3064
